classroom,Mon_1,Mon_2,Mon_3,Mon_4,Mon_N,Mon_5,Mon_6,Mon_7,Mon_8,Tue_1,Tue_2,Tue_3,Tue_4,Tue_N,Tue_5,Tue_6,Tue_7,Tue_8,Wed_1,Wed_2,Wed_3,Wed_4,Wed_N,Wed_5,Wed_6,Wed_7,Wed_8,Thu_1,Thu_2,Thu_3,Thu_4,Thu_N,Thu_5,Thu_6,Thu_7,Thu_8,Fri_1,Fri_2,Fri_3,Fri_4,Fri_N,Fri_5,Fri_6,Fri_7,Fri_8,ClassroomType
ES1017,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
ES105,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O,O,O,O,O,Normal
ES106,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,Normal
ES107,O,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,Normal
ES108,O,O,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,O,O,Normal
ES217,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,Normal
ES301,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,Computer
ES302,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,Computer
ES304,O,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,Normal
ES305,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,Normal
ES306,O,O,X,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X,X,O,X,X,O,O,Normal
ES307,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,Normal
ES308,O,O,X,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,O,O,O,O,O,O,X,X,O,O,Normal
ES309,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
ES401,O,X,X,X,O,O,O,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,Normal
ES404,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
ES405,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
ES406,O,O,O,O,O,X,X,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O,O,O,O,Normal
ES407,O,O,O,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,O,O,O,O,O,O,X,X,X,O,Normal
ES408,O,O,X,X,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,X,X,Normal
ES409,O,X,X,X,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,Normal
ES417,O,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O,Normal
ES418,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Lab
ES501,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,Drawing
ES504,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
ES505,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O,Normal
ES506,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O,Normal
ES507,O,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,Normal
ES508,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,Normal
ES509,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
ES517,O,X,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,O,Normal
ES601,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,O,Computer
ES604,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,O,O,O,X,X,O,O,X,O,O,O,O,Normal
ES605,O,X,X,X,O,X,X,X,O,O,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O,O,Normal
ES606,O,X,X,X,O,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,Normal
ES607,O,X,X,X,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,Normal
ES608,O,O,X,X,O,X,X,O,O,O,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O,O,O,O,Normal
ES609,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
ES617,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,Normal
ES618,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
